"url","tytul","cena","zdjecie","sprzedajacy","lokalizacja","pozostala_liczba_par","minimalna_cena_dostawy","maksymalna_cena_dostawy","licznik_sprzedazy","stan","marka","materiał zewnętrzny","materiał wkładki","kolor","rozmiar","płeć","wysokość","dostawa z Polski","rodzaj obcasa","wysokość obcasa (cm)","fason","wysokość cholewki","kształt noska","waga (z opakowaniem)","typ","rodzaj"
"http://allegro.pl/kalosze-sztyblety-krotkie-botki-meliski-czarne-i6543673061.html","KALOSZE SZTYBLETY KRÓTKIE BOTKI MELISKI CZARNE %%(6543673061)","19.99","https://0.allegroimg.com/s400/01691f/da056cf84defa983ac95e5862000","Jennifer_SC","Częstochowa","16","11.00","8.60","331 osób kupiło 396 sztuk","nowy","Inna marka","guma","inny materiał","czerń","39, 40, 41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://allegro.pl/buty-zimowe-puma-rebound-mid-winter-ocieplane-i6524190719.html","BUTY ZIMOWE PUMA REBOUND MID WINTER - OCIEPLANE!!(6524190719)","149.00","https://6.allegroimg.com/s400/0184e5/92408b82456cb7fd448e13e70ac6","OUTLET-AS","Zambrów","42","5.00","5.00","800 osób kupiło 841 par","nowy",NA,"inny materiał","inny materiał","odcienie brązu i beżu","39, 40, 40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 46, 47","produkt męski","wysokie","tak",NA,NA,NA,NA,NA,NA,NA,NA
"http://allegro.pl/wysokie-trampki-czarne-botki-buty-p-ab242-i6465858007.html","Wysokie trampki czarne botki buty p Ab242(6465858007)","19.99","https://9.allegroimg.com/s400/01bf82/047d995848f792fb0d1c0c910c99","Selui","Myszków","128","11.90","8.90","1031 osób kupiło 1319 par","nowy","Inna marka","tworzywo skóropodobne","inny materiał","czerń","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","płaski obcas","2.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/7el3-royal-niezwykle-botki-51064-pa-black-36-41-i6511345952.html","7EL3 ROYAL NIEZWYKŁE BOTKI 51064-PA BLACK 36-41(6511345952)","59.00","https://c.allegroimg.com/s400/01d43a/4f4c342a41f8ae4ae7e60201727c","Royal_fashion","Warszawa","106","15.00","20.00","417 osób kupiło 492 pary","nowy","Inna marka","tworzywo skóropodobne","inny materiał","czerń, odcienie szarości i srebra","36, 37, 38, 39, 40, 41",NA,NA,"tak","płaski obcas","2.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/7al10-ekstra-botki-slupek-6028-ga-black-36-41-i6534920718.html","7AL10 Ekstra Botki Słupek 6028-GA BLACK 36-41(6534920718)","64.99","https://f.allegroimg.com/s400/0620d6/061532fd43b0abc188ee888085ff","Royal_fashion","Warszawa","97","15.00","20.00","233 osoby kupiły 254 sztuki","nowy","Inna marka","tworzywo skóropodobne","inny materiał","czerń","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","słupek","8.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/mcp5g-klasyczne-botki-z-guma-a2650-black-r36-41-i6508456751.html","MCP5G KLASYCZNE BOTKI Z GUMĄ a2650 BLACK r36-41(6508456751)","59.00","https://6.allegroimg.com/s400/063769/23f408b143d6a3da65c639ad33d6","Royal_fashion","Warszawa","50","15.00","20.00","385 osób kupiło 419 par","nowy","Inna marka","tworzywo skóropodobne","tworzywo sztuczne","czerń","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","płaski obcas","3.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/sneakersy-fredzle-koturny-z-fredzlami-kolory-36-41-i6518288912.html","SNEAKERSY Frędzle KOTURNY Z FRĘDZLAMI KOLORY 36-41(6518288912)","109.00","https://6.allegroimg.com/s400/0102d9/95bf8f1b43b5b9f4a9b17dcd0126","HurtowniaModa","Sprzedaż  wysyłkowa","41","10.00","13.00","333 osoby kupiły 371 sztuk","nowy","Inna marka","tworzywo skóropodobne","inny materiał","czerń, odcienie brązu i beżu, odcienie szarości i srebra, wielokolorowy, odcienie czerwieni, odcienie różu, inny kolor","36, 37, 38, 39, 40, 41",NA,NA,"tak","koturn","8.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/5op6-botki-sznurowane-worker-a2603-grey-36-41-i6535093104.html","5OP6 BOTKI SZNUROWANE WORKER A2603 grey 36-41(6535093104)","39.99","https://1.allegroimg.com/s400/06e6fd/92f11d2b45598ab2e230c7cfceb1","Royal_fashion","Warszawa","48","16.00","21.00","183 osoby kupiły 193 pary","nowy","Inna marka","tworzywo skóropodobne","inny materiał","odcienie szarości i srebra","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","płaski obcas","2.50",NA,NA,NA,NA,NA,NA
"http://allegro.pl/c11-klasyczne-timberki-botki-cale-czarne-60-i6505563699.html","C11 KLASYCZNE TIMBERKI BOTKI CAŁE CZARNE %- 60 %(6505563699)","49.98","https://5.allegroimg.com/s400/01d396/89ab3fbf4078acefc5b2304b3aa5","Lady-fashion","lublin","139","14.97","18.49","316 osób kupiło 348 par","nowy","Inna marka","tworzywo skóropodobne","inny materiał","czerń","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","płaski obcas","3.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/bezowe-botki-z-gumami-buty-damskie-p-ac20-i6510468295.html","BEŻOWE BOTKI Z GUMAMI buty damskie p Ac20(6510468295)","39.90","https://e.allegroimg.com/s400/017f4c/0550731d4885b296785269e93d8e","Selui","Myszków","12","11.90","8.90","252 osoby kupiły 290 par","nowy","Inna marka","tworzywo skóropodobne","inny materiał","odcienie brązu i beżu","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","płaski obcas","2.50",NA,NA,NA,NA,NA,NA
