"","dec","condtn","order","race","age","int_corr","career_c.x","income","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","wave","age_o","race_o","income_o","goal","date","go_out","career_c.y","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga"
"1",0,1,10,2,27,0.29,2,46138,35,20,20,20,0,5,1,27,2,65929,1,5,1,5,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
"2",0,1,7,2,27,-0.03,2,46138,35,20,20,20,0,5,1,27,2,41191,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
"3",0,1,3,2,22,0.54,1,29237,60,0,0,40,0,0,1,22,2,69487,2,7,1,5,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
"4",0,1,9,2,22,0.18,1,29237,60,0,0,40,0,0,1,22,2,65929,1,5,1,5,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
"5",0,1,4,2,22,0.37,1,29237,60,0,0,40,0,0,1,22,2,60304,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
"6",1,1,5,4,22,-0.15,1,46138,19,18,19,18,14,12,1,22,4,48652,2,6,1,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7
"7",1,1,7,2,23,-0.04,1,56580,30,5,15,40,5,5,1,23,2,41191,6,3,1,5,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
"8",1,1,2,2,23,0.08,1,56580,30,5,15,40,5,5,1,23,2,86340,2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
"9",1,1,3,2,23,-0.46,1,56580,30,5,15,40,5,5,1,23,2,54620,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
"10",1,1,10,2,23,0.17,1,56580,30,5,15,40,5,5,1,23,2,48652,2,6,1,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7
"11",1,1,7,3,24,0.21,1,36782,30,10,20,10,10,20,1,24,3,69487,2,7,1,5,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
