"","dec","condtn","order","race","age","int_corr","career_c.x","income","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","wave","age_o","race_o","income_o","goal","date","go_out","career_c.y","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga"
"1",1,2,4,6,24,0.25,7,46138,20,20,25,25,5,5,11,24,6,62997,2,6,4,4,5,3,6,7,6,5,6,5,5,5,8,6,8,8,8,9,3
"2",0,2,3,6,24,-0.4,5,46138,30,30,30,5,2,3,21,24,6,36510,2,4,1,3,6,2,8,6,5,5,3,2,1,8,8,9,10,7,8,8,1
"3",0,2,3,2,34,0.36,7,80006,35,15,15,25,10,0,15,34,2,65693,1,7,1,6,3,2,3,5,9,9,4,3,4,9,6,7,8,7,7,5,4
"4",1,2,10,2,30,0.31,10,46138,31.58,10.53,15.79,21.05,10.53,10.53,14,30,2,36223,1,4,2,2,2,6,10,10,10,10,8,1,7,10,6,10,8,7,7,8,1
"5",1,2,12,4,29,0.17,7,46138,25,20,15,25,10,5,15,29,4,45736,2,4,2,6,3,1,4,9,8,8,10,1,1,10,6,9,9,8,7,7,2
"6",1,2,9,4,30,-0.04,1,46138,30,20,10,30,0,10,2,30,4,48441,1,6,2,9,7,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
"7",0,2,21,2,30,-0.19,7,46138,40,10,20,10,0,20,21,30,2,41191,1,3,2,6,1,1,1,8,9,10,8,0,9,9,6,10,9,7,10,5,5
"8",0,2,9,2,27,0.05,2,26682,20,15,25,15,20,5,4,27,2,41191,2,7,7,10,8,9,6,5,8,9,6,3,1,10,6,7,8,7,6,4,1
"9",0,2,14,4,30,-0.57,1,46138,30,20,10,30,0,10,2,30,4,61152,1,6,1,9,8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
"10",0,2,10,6,32,-0.08,6,35409,20,20,20,15,15,10,19,32,6,40163,5,5,2,9,4,1,7,9,5,5,4,1,7,3,3,3,3,3,7,6,3
"11",0,2,12,4,24,-0.15,2,46138,25,26,15,10,9,15,19,24,4,41191,1,4,2,5,9,6,7,8,6,8,8,4,7,7,4,7,8,7,7,6,4
"12",0,2,13,2,24,0.33,5,46138,10,20,35,20,0,15,4,24,2,25589,2,6,4,9,2,3,4,9,8,6,8,4,7,8,4,6,7,5,8,5,3
"13",1,2,4,2,25,0.07,10,55080,24,15,20,20,8,13,12,25,2,39729,1,7,2,12,10,1,8,7,7,8,2,1,4,8,1,8,9,7,7,8,9
"14",1,2,5,2,32,0.59,2,30587,20,20,20,20,10,10,12,32,2,16908,4,5,1,2,7,1,9,9,9,7,7,1,1,10,2,9,9,8,9,5,1
"15",1,2,9,2,22,0.13,1,46138,30,10,20,15,15,10,21,22,2,41191,2,7,2,2,8,1,4,10,8,7,10,5,7,9,1,3,9,7,5,1,7
"16",0,2,10,2,27,-0.31,7,46138,75,5,5,5,5,5,15,27,2,33906,3,4,2,6,3,4,4,10,8,8,6,1,8,9,3,10,10,7,9,7,8
"17",0,2,10,2,34,0.53,1,35187,30,20,30,5,5,10,14,34,2,41191,1,2,1,2,3,4,5,8,9,9,8,8,5,6,4,9,9,8,9,8,5
