"","borough","neighborhood","building_class_category","block","lot","address","zip_code","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of_sale","sale_price"
"1","brooklyn","clinton_hill","12_condos_-_walkup_apartments",2014,1114,"940 fulton street",11238,1,0,1,0,0,1930,2,"R2",515000
"2","queens","rosedale","01_one_family_dwellings",13694,2,"148-27 hook creek boulevard",11422,1,0,1,1470,1520,1996,1,"A5",396700
"3","brooklyn","gravesend","02_two_family_dwellings",7086,38,"176 lake street",11223,2,0,2,2000,1536,1930,1,"B2",9e+05
"4","staten_island","castleton_corners","01_one_family_dwellings",723,66,"43 wheeler avenue",10314,1,0,1,3260,1938,2008,1,"A5",620000
"5","staten_island","new_dorp-heights","01_one_family_dwellings",4316,65,"127 cranford avenue",10306,1,0,1,2700,1400,1965,1,"A5",490000
"6","bronx","city_island","01_one_family_dwellings",5632,185,"346 william avenue",10464,1,0,1,2548,780,1940,1,"A2",275000
"7","brooklyn","sheepshead_bay","44_condo_parking",7465,1252,"3041 ocean avenue",11235,0,0,1,0,0,2015,4,"RG",20080
"8","staten_island","eltingville","01_one_family_dwellings",5383,54,"109 kinghorn street",10312,1,0,1,8360,2700,1960,1,"A1",1185000
"9","brooklyn","williamsburg-north","13_condos_-_elevator_apartments",2299,1063,"214 north 11 street",11211,1,0,1,0,0,0,2,"R4",815000
"10","brooklyn","ocean_hill","02_two_family_dwellings",1542,61,"2077a fulton street",11233,2,1,3,1719,3000,1899,1,"S2",850000
"11","staten_island","princes_bay","01_one_family_dwellings",6865,15,"286 bradford avenue",10309,1,0,1,7500,960,1920,1,"A2",605000
"12","brooklyn","mill_basin","03_three_family_dwellings",8595,34,"2705 east 63rd   street",11234,3,0,3,2565,3232,1965,1,"C0",7e+05
"13","queens","forest_hills","01_one_family_dwellings",3311,28,"117-15 union turnpike",11375,1,0,1,2260,1951,1920,1,"A5",1080000
"14","queens","arverne","01_one_family_dwellings",16078,45,"314 beach 74 street",11692,1,0,1,3000,796,1920,1,"A2",333000
"15","bronx","pelham_parkway_south","13_condos_-_elevator_apartments",4307,1039,"1144 lydig avenue",10461,1,0,1,0,0,1963,2,"R4",272000
"16","staten_island","grant_city","02_two_family_dwellings",3578,45,"85 lisbon place",10306,2,0,2,3069,1800,1989,1,"B9",250000
"17","brooklyn","brooklyn_heights","13_condos_-_elevator_apartments",199,1018,"90 furman street",11201,1,0,1,0,0,2015,2,"R4",3872761
"18","bronx","castle_hill/unionport","01_one_family_dwellings",3510,5,"400 howe avenue",10473,1,0,1,3358,1980,1965,1,"A5",306500
"19","brooklyn","downtown-fulton_mall","13_condos_-_elevator_apartments",170,1066,"265 state street",11201,1,0,1,0,0,2014,2,"R4",1675021
"20","staten_island","port_richmond","02_two_family_dwellings",1084,40,"63 treadwell avenue",10302,2,0,2,2500,1728,1915,1,"B2",333000
