"","borough","neighborhood","building_class_category","block","lot","address","zip_code","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of_sale","sale_price"
"1","manhattan","chelsea","01_one_family_dwellings",771,52,"224 west 22nd   street",10011,1,0,1,1975,3855,1901,1,"A9",7425000
"2","manhattan","chelsea","07_rentals_-_walkup_apartments",745,63,"348 west 22nd street",10011,4,0,4,2057,3042,1900,2,"C3",8e+06
"3","manhattan","chelsea","07_rentals_-_walkup_apartments",765,25,"219 west 15th street",10011,9,0,9,1566,6330,1901,2,"C4",630370
"4","manhattan","chelsea","07_rentals_-_walkup_apartments",790,9,"147 west 14th street",10011,15,1,16,2077,6335,1901,2,"C7",5500000
"5","manhattan","chelsea","14_rentals_-_4-10_unit",769,69,"192 8 avenue",10011,4,2,6,2500,4447,1910,2,"S9",8250000
"6","manhattan","chelsea","38_asylums_and_homes",764,11,"249 west 14th   street",10011,35,0,35,2496,5802,1920,4,"N2",7995000
"7","manhattan","chinatown","22_store_buildings",237,21,"139 mott street",10013,0,1,1,2450,8550,1910,4,"K4",6780000
"8","manhattan","civic_center","14_rentals_-_4-10_unit",135,21,"90 chambers street",10007,5,1,6,1877,8885,1915,2,"S5",10725000
"9","manhattan","clinton","07_rentals_-_walkup_apartments",1058,10,"441 west 48th   street",10036,12,0,12,2510,8175,1901,2,"C1",12400000
"10","manhattan","clinton","07_rentals_-_walkup_apartments",1060,158,"458 west 51 street",10019,5,0,5,2092,4120,1920,2,"C2",7e+06
"11","manhattan","clinton","07_rentals_-_walkup_apartments",1067,55,"454 west 58th   street",10019,12,0,12,2502,9625,1910,2,"C4",11435000
"12","manhattan","clinton","37_religious_facilities",1053,59,"460 west 44th   street",10036,0,2,2,5021,8848,1910,4,"M4",8010000
"13","manhattan","east_village","07_rentals_-_walkup_apartments",434,43,"429 east 6th street",10009,20,0,20,4163,9187,1920,2,"C1",5292000
"14","manhattan","east_village","07_rentals_-_walkup_apartments",442,11,"31 east 1st street",10003,21,0,21,2144,7495,1920,2,"C5",5381394
"15","manhattan","east_village","07_rentals_-_walkup_apartments",463,27,"341/2 saint marks place",10003,11,1,12,1840,7692,1900,2,"C7",8300000
"16","manhattan","east_village","14_rentals_-_4-10_unit",435,1,"118 1 avenue",10009,4,2,6,1240,5080,1900,2,"S9",5825000
"17","manhattan","fashion","07_rentals_-_walkup_apartments",778,28,"221 west 28th   street",10001,22,2,24,2460,11538,1920,2,"C4",1.1e+07
"18","manhattan","fashion","23_loft_buildings",762,61,"338 west 39th   street",10018,0,12,12,4937,55473,1926,4,"L1",1161500
"19","manhattan","fashion","23_loft_buildings",785,75,"260 west 36th   street",10018,0,12,12,7266,81375,1907,4,"L3",5e+06
"20","manhattan","fashion","23_loft_buildings",805,39,"115-123 w 29th",10001,0,15,15,6994,79465,1913,4,"L1",220000
"21","manhattan","financial","21_office_buildings",38,17,"88 pine street",10005,0,23,23,27600,566858,1973,4,"O4",3288000
"22","manhattan","flatiron","08_rentals_-_elevator_apartments",844,8,"9 east 16th   street",10003,15,1,16,4600,30680,1900,2,"D6",489854
"23","manhattan","flatiron","14_rentals_-_4-10_unit",822,69,"52 west 21st street",10010,4,1,5,1392,5118,1910,2,"S4",6625000
"24","manhattan","flatiron","23_loft_buildings",829,72,"52 west 28th street",10001,0,4,4,987,3780,1915,4,"L9",4650000
"25","manhattan","gramercy","02_two_family_dwellings",882,14,"119 east 26th street",10010,2,0,2,1407,3080,1910,1,"B3",3700000
"26","manhattan","greenwich_village-central","01_one_family_dwellings",525,34,"168 thompson street",10012,1,1,2,1350,5807,1900,1,"S1",9999999
"27","manhattan","greenwich_village-central","02_two_family_dwellings",542,46,"109 macdougal street",10012,2,1,3,1580,3902,1901,1,"S2",5250000
