"url","tytul","cena","zdjecie","sprzedajacy","lokalizacja","pozostala_liczba_par","minimalna_cena_dostawy","maksymalna_cena_dostawy","licznik_sprzedazy","stan","płeć","wysokość","materiał zewnętrzny","materiał wkładki","kolor","dostawa z Polski","rozmiar","marka","rodzaj obcasa","wysokość obcasa (cm)","fason","wysokość cholewki","kształt noska","waga (z opakowaniem)","typ","rodzaj"
"http://allegro.pl/buty-zimowe-puma-rebound-mid-winter-ocieplane-i6524190719.html","BUTY ZIMOWE PUMA REBOUND MID WINTER - OCIEPLANE!!(6524190719)","149.00","https://6.allegroimg.com/s400/0184e5/92408b82456cb7fd448e13e70ac6","OUTLET-AS","Zambrów","14","5","5","848 osób kupiło 890 par","nowy","produkt męski","wysokie","inny materiał","inny materiał","odcienie brązu i beżu","tak","39, 40, 40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 46, 47",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://allegro.pl/wysokie-trampki-czarne-botki-buty-p-ab242-i6465858007.html","Wysokie trampki czarne botki buty p Ab242(6465858007)","19.99","https://9.allegroimg.com/s400/01bf82/047d995848f792fb0d1c0c910c99","Selui","Myszków","103","7.49","11.9","1110 osób kupiło 1420 par","nowy","produkt damski",NA,"tworzywo skóropodobne","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","2.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/7el3-royal-niezwykle-botki-51064-pa-black-36-41-i6511345952.html","7EL3 ROYAL NIEZWYKŁE BOTKI 51064-PA BLACK 36-41(6511345952)","59.00","https://c.allegroimg.com/s400/01d43a/4f4c342a41f8ae4ae7e60201727c","Royal_fashion","Warszawa","153","15","20","478 osób kupiło 556 par","nowy",NA,NA,"tworzywo skóropodobne","inny materiał","czerń, odcienie szarości i srebra","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","2.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/7al10-ekstra-botki-slupek-6028-ga-black-36-41-i6534920718.html","7AL10 Ekstra Botki Słupek 6028-GA BLACK 36-41(6534920718)","64.99","https://f.allegroimg.com/s400/0620d6/061532fd43b0abc188ee888085ff","Royal_fashion","Warszawa","99","15","20","278 osób kupiło 301 sztuk","nowy","produkt damski",NA,"tworzywo skóropodobne","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","słupek","8.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/mcp5g-klasyczne-botki-z-guma-a2650-black-r36-41-i6508456751.html","MCP5G KLASYCZNE BOTKI Z GUMĄ a2650 BLACK r36-41(6508456751)","59.00","https://6.allegroimg.com/s400/063769/23f408b143d6a3da65c639ad33d6","Royal_fashion","Warszawa","17","15","20","422 osoby kupiły 459 par","nowy","produkt damski",NA,"tworzywo skóropodobne","tworzywo sztuczne","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","3.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/5995-ekskluzywne-kozaki-za-kolano-na-platformie-i6565395635.html","5995 EKSKLUZYWNE KOZAKI ZA KOLANO NA PLATFORMIE(6565395635)","109.99","https://8.allegroimg.com/s400/013adf/23064d3947a2a1438a764697fb48","ibuciki_pl","Ostrowiec Świętokrzyski","21","9.99","17.99","29 osób kupiło 32 pary","nowy","produkt damski",NA,"inny materiał","inny materiał","czerń","tak","35, 36, 37, 38, 39, 40","Inna marka","słupek","10.00","muszkieterki","powyżej kolana","okrągły",NA,NA,NA
"http://allegro.pl/5op6-botki-sznurowane-worker-a2603-grey-36-41-i6535093104.html","5OP6 BOTKI SZNUROWANE WORKER A2603 grey 36-41(6535093104)","39.99","https://1.allegroimg.com/s400/06e6fd/92f11d2b45598ab2e230c7cfceb1","Royal_fashion","Warszawa","6","16","21","219 osób kupiło 230 par","nowy","produkt damski",NA,"tworzywo skóropodobne","inny materiał","odcienie szarości i srebra","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","2.50",NA,NA,NA,NA,NA,NA
"http://allegro.pl/sneakersy-fredzle-koturny-z-fredzlami-kolory-36-41-i6518288912.html","SNEAKERSY Frędzle KOTURNY Z FRĘDZLAMI KOLORY 36-41(6518288912)","99.00","https://f.allegroimg.com/s400/01b4c4/267768b04e14b1e4ae0e7593463f","HurtowniaModa","Sprzedaż  wysyłkowa","49","10","13","344 osoby kupiły 383 sztuki","nowy",NA,NA,"tworzywo skóropodobne","inny materiał","czerń, odcienie brązu i beżu, odcienie szarości i srebra, wielokolorowy, odcienie czerwieni, odcienie różu, inny kolor","tak","36, 37, 38, 39, 40, 41","Inna marka","koturn","8.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/c11-klasyczne-timberki-botki-cale-czarne-60-i6505563699.html","C11 KLASYCZNE TIMBERKI BOTKI CAŁE CZARNE %- 60 %(6505563699)","56.98","https://f.allegroimg.com/s400/016060/a394b2ee4239b0f892fab603fd6f","Lady-fashion","lublin","313","14.97","18.49","348 osób kupiło 388 par","nowy","produkt damski",NA,"tworzywo skóropodobne","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","3.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/bezowe-botki-z-gumami-buty-damskie-p-ac20-i6510468295.html","BEŻOWE BOTKI Z GUMAMI buty damskie p Ac20(6510468295)","39.90","https://e.allegroimg.com/s400/017f4c/0550731d4885b296785269e93d8e","Selui","Myszków","5","7.49","11.9","256 osób kupiło 294 pary","nowy","produkt damski",NA,"tworzywo skóropodobne","inny materiał","odcienie brązu i beżu","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","2.50",NA,NA,NA,NA,NA,NA
"http://allegro.pl/timberki-kolory-trapery-timberlandki-stylowe-botki-i6470872372.html","TIMBERKI KOLORY TRAPERY TIMBERLANDKI STYLOWE BOTKI(6470872372)","79.99","https://f.allegroimg.com/s400/010c74/8f6014504577855c3cb1ffc3c0ff","HurtowniaModa","Sprzedaż  wysyłkowa","463","10","13","443 osoby kupiły 539 sztuk","nowy",NA,NA,"tworzywo skóropodobne","inny materiał","czerń, odcienie brązu i beżu, odcienie niebieskiego, odcienie szarości i srebra, wielokolorowy, odcienie czerwieni, odcienie różu, inny kolor","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","3.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/trapery-timberlandki-flover-czarne-kwiatki-futro-i6504965319.html","TRAPERY TIMBERLANDKI FLOVER czarne kwiatki FUTRO(6504965319)","99.99","https://9.allegroimg.com/s400/0162a6/b14b3ae445f29741e899870bc8f9","HurtowniaModa","Warszawa/ Sprzedaż tylko wysyłkowa","26","10","13","314 osób kupiło 332 sztuki","nowy",NA,NA,"tworzywo skóropodobne","inny materiał","czerń, wielokolorowy","tak","36, 37, 38, 39, 40, 41","Inna marka",NA,NA,NA,NA,NA,NA,NA,NA
"http://allegro.pl/mdl7-ekstra-botki-slupek-hy-15-black-36-41-i6543823855.html","MDL7 Ekstra Botki Słupek HY-15 BLACK 36-41(6543823855)","59.99","https://2.allegroimg.com/s400/068ae0/b085bd3e46b9be37a5b51bbdfa32","Royal_fashion","Warszawa","164","15","20","121 osób kupiło 127 sztuk","nowy","produkt damski",NA,"tworzywo skóropodobne","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","słupek","9.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/8cp3-piekne-kozaki-zlote-suwaki-wa141179-blk-36-41-i6523879514.html","8CP3 PIĘKNE KOZAKI ZŁOTE SUWAKI WA141179 BLK 36-41(6523879514)","59.00","https://4.allegroimg.com/s400/01657a/c7268b114948a897b82d54e63084","Royal_fashion","Warszawa","90","15","20","163 osoby kupiły 192 pary","nowy","produkt damski",NA,"tworzywo skóropodobne","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","3.00","oficerki","do kolana","okrągły",NA,NA,NA
"http://allegro.pl/botki-suwak-kozaki-sztylnety-military-8891-czarny-i6557914098.html","BOTKI SUWAK KOZAKI SZTYLNETY MILITARY 8891 CZARNY(6557914098)","39.99","https://e.allegroimg.com/s400/01c3df/5a0e7bf6490b847d7c69a56b193e","GEMRE","Ząbki","59","12","17","88 osób kupiło 93 pary","nowy","produkt damski",NA,"tworzywo skóropodobne","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","3.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/kalosze-meliski-czarne-botki-z-guma-36-41-i6385837363.html","KALOSZE MELISKI _czarne BOTKI Z GUMĄ 36-41 !!!(6385837363)","28.99","https://b.allegroimg.com/s400/018aad/1f4d54da4de8a9a9e2bde5f2d82b","e-modi","Internet","948","3.94","14.99","786 osób kupiło 943 sztuki","nowy","produkt damski",NA,"guma","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka",NA,NA,NA,NA,NA,"3.00 [kg]",NA,NA
