"","iso2","year","m5_14","m15_24","m25_34","m35_44","m45_54","m55_64","m65","f5_14","f15_24","f25_34","f35_44","f45_54","f55_64","f65"
"1","AD",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","AD",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","AD",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","AD",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","AD",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","AD",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","AD",1996,NA,0,0,4,1,0,0,NA,1,1,0,0,1,0
"8","AD",1997,NA,0,1,2,2,1,6,NA,1,2,3,0,0,1
"9","AD",1998,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
"10","AD",1999,NA,0,0,1,1,0,0,NA,0,0,1,0,0,0
"11","AD",2000,NA,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"12","AD",2001,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","AD",2002,NA,0,0,1,0,0,0,NA,1,0,0,0,0,0
"14","AD",2003,NA,0,0,1,2,0,0,NA,1,1,1,0,0,0
"15","AD",2004,NA,0,0,1,1,0,0,NA,0,1,0,0,0,0
"16","AD",2005,0,0,1,1,0,0,0,0,1,1,1,0,0,0
"17","AD",2006,0,1,1,2,0,1,1,0,0,1,0,1,0,0
"18","AD",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
"19","AD",2008,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"20","AE",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","AE",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","AE",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","AE",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","AE",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","AE",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","AE",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","AE",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","AE",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","AE",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","AE",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","AE",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","AE",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","AE",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","AE",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","AE",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","AE",1999,NA,9,3,2,4,6,5,NA,11,5,3,0,3,2
"37","AE",2000,NA,4,4,6,5,12,10,NA,16,1,3,0,0,4
"38","AE",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","AE",2002,NA,2,0,6,6,10,0,NA,3,8,3,4,10,1
"40","AE",2003,NA,10,8,12,3,2,10,NA,9,5,3,3,2,4
"41","AE",2004,NA,7,6,7,3,1,7,NA,6,2,7,2,2,3
"42","AE",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","AE",2006,0,5,3,7,3,1,4,2,6,4,5,3,4,5
"44","AE",2007,2,5,6,3,4,3,10,1,8,6,3,2,0,0
"45","AE",2008,0,6,1,7,5,3,6,0,10,4,1,1,3,3
"46","AF",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","AF",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","AF",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","AF",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","AF",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","AF",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","AF",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","AF",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","AF",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","AF",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","AF",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","AF",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","AF",1997,NA,10,6,3,5,2,0,NA,38,36,14,8,0,1
"59","AF",1998,NA,129,128,90,89,64,41,NA,350,419,194,118,61,20
"60","AF",1999,NA,55,55,47,34,21,8,NA,139,160,110,50,25,8
"61","AF",2000,NA,228,183,149,129,94,80,NA,414,565,339,205,99,36
"62","AF",2001,NA,379,349,274,204,139,103,NA,799,888,586,375,179,89
"63","AF",2002,NA,476,481,368,246,241,189,NA,1119,1251,792,526,320,218
"64","AF",2003,NA,511,436,284,256,288,203,NA,1152,1287,814,462,305,158
"65","AF",2004,NA,537,568,360,358,386,310,NA,1360,1561,1096,645,413,256
"66","AF",2005,NA,606,560,472,453,470,419,NA,1651,1959,1302,869,471,246
"67","AF",2006,NA,837,791,574,572,572,410,NA,2139,2340,1654,1006,630,309
"68","AF",2007,NA,856,840,597,566,630,507,NA,2224,2357,1708,1143,771,353
"69","AF",2008,NA,941,773,545,570,630,575,NA,2094,2449,1614,1149,817,364
"70","AG",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","AG",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","AG",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","AG",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","AG",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","AG",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","AG",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","AG",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","AG",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","AG",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","AG",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","AG",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","AG",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","AG",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","AG",1996,NA,0,0,0,1,0,0,NA,0,0,1,0,0,0
"85","AG",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","AG",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","AG",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","AG",2000,NA,0,0,0,0,0,1,NA,1,1,0,0,0,0
"89","AG",2001,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
"90","AG",2002,NA,0,1,0,0,0,0,NA,0,1,0,0,0,0
"91","AG",2003,NA,0,1,0,0,0,0,NA,0,0,0,0,0,0
"92","AG",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","AG",2005,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,NA
"94","AG",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","AG",2007,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"96","AG",2008,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","AI",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","AI",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","AI",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","AI",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
